booking_id,passenger_id,passenger_name,gender,age,nationality,flight_id,airline,flight_number,origin_airport,destination_airport,departure_time,arrival_time,flight_status,seat_class,booking_date,price
523,1,"Amy Williams",Male,50,Lebanon,1150,Southwest,1586,JFK,MIA,"2025-08-08 18:23:48","2025-08-08 22:23:48","On Time",First,2025-07-27,746.18
7838,1,"Amy Williams",Male,50,Lebanon,2639,Frontier,7841,MIA,ORD,"2025-07-22 23:56:10","2025-07-23 01:56:10",Cancelled,First,2025-08-15,962.94
8476,1,"Amy Williams",Male,50,Lebanon,2800,Alaska,2371,LAX,MIA,"2025-08-12 08:54:38","2025-08-12 14:54:38",Delayed,Business,2025-08-03,511.88
9809,1,"Amy Williams",Male,50,Lebanon,161,Alaska,4991,BOS,SEA,"2025-08-04 17:30:22","2025-08-04 20:30:22",Delayed,Economy,2025-07-16,387.31
879,2,"Cheryl Morris",Female,57.0,Malaysia,1238,United,7548,LAX,ORD,"2025-07-31 06:54:51","2025-07-31 10:54:51",Delayed,First,2025-08-10,493.27
6074,2,"Cheryl Morris",Female,57.0,Malaysia,495,JetBlue,7115,ORD,ATL,"2025-08-04 17:28:59","2025-08-04 20:28:59","On Time",Economy,2025-07-17,353.22
7230,2,"Cheryl Morris",Female,57.0,Malaysia,2716,Delta,261,LAX,SFO,"2025-08-16 09:34:44","2025-08-16 11:34:44",Cancelled,First,2025-07-11,643.02
7286,2,"Cheryl Morris",Female,57.0,Malaysia,2388,Spirit,3412,DFW,JFK,"2025-08-14 12:07:31","2025-08-14 17:07:31",Delayed,Economy,2025-08-13,653.32
8945,2,"Cheryl Morris",Female,57.0,Malaysia,1779,Delta,5823,DEN,ORD,"2025-07-26 19:34:48","2025-07-26 23:34:48",Delayed,First,2025-07-16,130.85
1409,3,"Cynthia Cook",Male,50,Turkmenistan,2251,"American Airlines",1688,SFO,ATL,"2025-07-29 02:08:06","2025-07-29 05:08:06","On Time",First,2025-08-16,1470.47
